Country,Date,Round,Challenge,Streetview,Coordinates,Region,Record Count
Bermuda,"Feb 19, 2024",4,Challenge,Street view,"32.327960968017578,-64.833831787109375",Sandys Parish,1
United States,"Feb 19, 2024",5,Challenge,Street view,"32.231895446777344,-110.95272827148438",Arizona,1
South Africa,"Feb 20, 2024",1,Challenge,Street view,"-30.328205108642578,30.570960998535156",KwaZulu-Natal,1
Puerto Rico,"Feb 20, 2024",2,Challenge,Street view,"18.010879516601562,-66.381874084472656",Santa Isabel,1
Japan,"Feb 20, 2024",3,Challenge,Street view,"40.285892486572266,140.58099365234375",Akita,1
Eswatini,"Feb 20, 2024",4,Challenge,Street view,"-26.19379997253418,31.991155624389648",Lubombo Region,1
Laos,"Feb 20, 2024",5,Challenge,Street view,"17.963491439819336,102.60727691650391",Vientiane Prefecture,1
Portugal,"Feb 21, 2024",1,Challenge,Street view,"38.774456024169922,-27.168035507202148",Açores,1
Germany,"Feb 21, 2024",2,Challenge,Street view,"52.421096801757812,12.166982650756836",Sachsen-Anhalt,1
Singapore,"Feb 21, 2024",3,Challenge,Street view,"1.3626410961151123,103.70651245117188",Singapore,1
Kyrgyzstan,"Feb 21, 2024",4,Challenge,Street view,"42.514999389648438,78.3855209350586",Issyk-Kul Region,1
Chile,"Feb 21, 2024",5,Challenge,Street view,"-53.130313873291016,-70.8650131225586",Magallanes y la Antártica Chilena,1
Belgium,"Feb 22, 2024",1,Challenge,Street view,"50.707424163818359,5.6750955581665039",Région wallonne,1
Canada,"Feb 22, 2024",2,Challenge,Street view,"50.9540901184082,-114.11911010742188",Alberta,1
Chile,"Feb 22, 2024",3,Challenge,Street view,"-33.457332611083984,-70.639053344726562",Región Metropolitana,1
Lithuania,"Feb 22, 2024",4,Challenge,Street view,"54.497142791748047,22.791412353515625",Marijampolės apskritis,1
Kenya,"Feb 22, 2024",5,Challenge,Street view,"-0.66978722810745239,39.124599456787109",Tana River County,1
Philippines,"Feb 23, 2024",1,Challenge,Street view,"7.8519902229309082,123.15716552734375",Zamboanga del Sur,1
Nigeria,"Feb 23, 2024",2,Challenge,Street view,"7.7161531448364258,4.9461669921875",Ekiti,1
United Kingdom,"Feb 23, 2024",3,Challenge,Street view,"53.526275634765625,-2.8794856071472168",Lancashire,1
Mexico,"Feb 23, 2024",4,Challenge,Street view,"18.758781433105469,-95.725212097167969",Veracruz,1
Kenya,"Feb 23, 2024",5,Challenge,Street view,"-2.2818701267242432,36.809574127197266",Kajiado County,1
United States,"Feb 24, 2024",1,Challenge,Street view,"42.655693054199219,-73.740882873535156",New York,1
Singapore,"Feb 24, 2024",2,Challenge,Street view,"1.3904160261154175,103.89750671386719",Singapore,1
France,"Feb 24, 2024",3,Challenge,Street view,"48.198795318603516,-1.0742582082748413",Bretagne,1
Greenland,"Feb 24, 2024",4,Challenge,Street view,"66.951904296875,-53.715373992919922",Qeqqata Municipality,1
Belgium,"Feb 24, 2024",5,Challenge,Street view,"50.038352966308594,5.6697831153869629",Région wallonne,1
Croatia,"Feb 25, 2024",1,Challenge,Street view,"45.899894714355469,16.833095550537109",Bjelovarsko-bilogorska županija,1
New Zealand,"Feb 25, 2024",2,Challenge,Street view,"-41.194072723388672,174.90971374511719",Wellington Region,1
Ireland,"Feb 25, 2024",3,Challenge,Street view,"53.659996032714844,-6.6796369552612305",County Meath,1
Colombia,"Feb 25, 2024",4,Challenge,Street view,"0.83550465106964111,-77.629158020019531",Nariño,1
Hong Kong,"Feb 25, 2024",5,Challenge,Street view,"22.304088592529297,114.25160980224609",New Territories,1
Greenland,"Feb 26, 2024",1,Challenge,Street view,"71.049819946289062,-51.885292053222656",Avannaata Municipality,1
Slovenia,"Feb 26, 2024",2,Challenge,Street view,"46.549869537353516,15.642177581787109",Upravna enota Maribor,1
Brazil,"Feb 26, 2024",3,Challenge,Street view,"-21.717288970947266,-43.063018798828125",Minas Gerais,1
Indonesia,"Feb 26, 2024",4,Challenge,Street view,"-4.010744571685791,122.51709747314453",Sulawesi Tenggara,1
Malaysia,"Feb 26, 2024",5,Challenge,Street view,"4.92515754699707,115.23596954345703",Sarawak,1
Japan,"Feb 27, 2024",1,Challenge,Street view,"34.052658081054688,132.98695373535156",Ehime,1
Türkiye,"Feb 27, 2024",2,Challenge,Street view,"38.865875244140625,37.901668548583984",Malatya,1
Latvia,"Feb 27, 2024",3,Challenge,Street view,"56.5120849609375,21.018766403198242",City of Liepāja,1
Mexico,"Feb 27, 2024",4,Challenge,Street view,"22.269323348999023,-101.98286437988281",Zacatecas,1
Canada,"Feb 27, 2024",5,Challenge,Street view,"53.5392951965332,-113.61369323730469",Alberta,1
Indonesia,"Feb 28, 2024",1,Challenge,Street view,"-3.0188350677490234,104.72893524169922",Sumatera Selatan,1
Lesotho,"Feb 28, 2024",2,Challenge,Street view,"-29.162534713745117,27.776424407958984",Berea,1
Sri Lanka,"Feb 28, 2024",3,Challenge,Street view,"7.3741698265075684,80.062248229980469",North Western Province,1
Peru,"Feb 28, 2024",4,Challenge,Street view,"-8.1139936447143555,-79.0404281616211",La Libertad,1
Luxembourg,"Feb 28, 2024",5,Challenge,Street view,"49.933712005615234,6.1882114410400391",Vianden,1
Mexico,"Feb 29, 2024",1,Challenge,Street view,"20.948347091674805,-89.607879638671875",Yucatán,1
Kyrgyzstan,"Feb 29, 2024",2,Challenge,Street view,"42.837642669677734,75.293045043945312",Chuy Province,1
Hungary,"Feb 29, 2024",3,Challenge,Street view,"47.510700225830078,19.090906143188477",Budapest,1
Greece,"Feb 29, 2024",4,Challenge,Street view,"41.290206909179688,22.961671829223633",Central Macedonia,1
Poland,"Feb 29, 2024",5,Challenge,Street view,"52.057952880859375,22.617898941040039",Województwo mazowieckie,1
Russia,"Mar 1, 2024",1,Challenge,Street view,"56.323388504012975,160.80232439603748",Kamchatka Krai,1
New Zealand,"Mar 1, 2024",2,Challenge,Street view,"-39.333685509650827,174.27273920746342",Taranaki Region,1
Peru,"Mar 1, 2024",3,Challenge,Street view,"-16.343519915378216,-71.139800512123955",Arequipa,1
Italy,"Mar 1, 2024",4,Challenge,Street view,"37.8415826569485,15.086578281130475",Sicily,1
Indonesia,"Mar 1, 2024",5,Challenge,Street view,"-7.66518248999459,111.30039091721844",Jawa Timur,1
Nigeria,"Mar 2, 2024",1,Challenge,Street view,"6.4287290573120117,3.9968421459198",Lagos,1
Slovenia,"Mar 2, 2024",2,Challenge,Street view,"46.417755126953125,16.172407150268555",Ormož,1
Bhutan,"Mar 2, 2024",3,Challenge,Street view,"27.477075576782227,89.618125915527344",Thimphu,1
Romania,"Mar 2, 2024",4,Challenge,Street view,"45.059806823730469,26.75737190246582",Județul Buzău,1
Guatemala,"Mar 2, 2024",5,Challenge,Street view,"16.9173583984375,-89.8991470336914",Petén,1
Ukraine,"Mar 3, 2024",1,Challenge,Street view,"50.218715667724609,35.4902458190918",Kharkivs'ka oblast,1
North Macedonia,"Mar 3, 2024",2,Challenge,Street view,"42.007442474365234,21.439794540405273",Greater Skopje,1
Philippines,"Mar 3, 2024",3,Challenge,Street view,"10.59346866607666,123.03681182861328",Negros Occidental,1
United States,"Mar 3, 2024",4,Challenge,Street view,"62.107646942138672,-145.52806091308594",Alaska,1
Peru,"Mar 3, 2024",5,Challenge,Street view,"-10.717494964599609,-77.765426635742188",Gobierno Regional de Lima,1
Indonesia,"Mar 4, 2024",1,Challenge,Street view,"-3.3652312755584717,119.29467010498047",Sulawesi Barat,1
Bolivia,"Mar 4, 2024",2,Challenge,Street view,"-17.348325729370117,-63.218166351318359",Departamento de Santa Cruz,1
Peru,"Mar 4, 2024",3,Challenge,Street view,"-5.169003963470459,-80.649421691894531",Piura,1
Sweden,"Mar 4, 2024",4,Challenge,Street view,"67.848350524902344,20.277664184570312",Norrbottens län,1
Lesotho,"Mar 4, 2024",5,Challenge,Street view,"-29.358186721801758,27.493227005004883",Maseru,1
Japan,"Mar 5, 2024",1,Challenge,Street view,"36.799541473388672,140.52827453613281",Ibaraki,1
Mongolia,"Mar 5, 2024",2,Challenge,Street view,"48.722995758056641,98.175498962402344",Zavkhan,1
Netherlands,"Mar 5, 2024",3,Challenge,Street view,"52.301010131835938,5.9777097702026367",Gelderland,1
Brazil,"Mar 5, 2024",4,Challenge,Street view,"-22.897748947143555,-43.1956787109375",Rio de Janeiro,1
India,"Mar 5, 2024",5,Challenge,Street view,"15.632392883300781,77.295135498046875",Andhra Pradesh,1
Brazil,"Mar 6, 2024",1,Challenge,Street view,"-19.879268646240234,-49.606895446777344",Minas Gerais,1
Thailand,"Mar 6, 2024",2,Challenge,Street view,"7.6179928779602051,100.07859802246094",Phatthalung,1
Türkiye,"Mar 6, 2024",3,Challenge,Street view,"38.4299430847168,27.207862854003906",İzmir,1
Ukraine,"Mar 6, 2024",4,Challenge,Street view,"49.436386108398438,35.470317840576172",Kharkivs'ka oblast,1
Slovenia,"Mar 6, 2024",5,Challenge,Street view,"46.563564300537109,15.589529037475586",Upravna enota Maribor,1
Türkiye,"Mar 7, 2024",1,Challenge,Street view,"39.893993377685547,32.8864860534668",Ankara,1
Sweden,"Mar 7, 2024",2,Challenge,Street view,"60.6197395324707,16.753604888916016",Gävleborgs län,1
Bhutan,"Mar 7, 2024",3,Challenge,Street view,"27.128486633300781,91.558753967285156",Trashigang,1
United States,"Mar 7, 2024",4,Challenge,Street view,"38.875888824462891,-82.117881774902344",West Virginia,1
Denmark,"Mar 7, 2024",5,Challenge,Street view,"55.304420471191406,9.3511276245117188",Region of Southern Denmark,1
Austria,"Mar 8, 2024",1,Challenge,Street view,"47.06469646107788,12.824985642716008",Kärnten,1
Russia,"Mar 8, 2024",2,Challenge,Street view,"51.672478834934161,100.98966467808098",Respublika Buryatiya,1
South Africa,"Mar 8, 2024",3,Challenge,Street view,"-33.952266632815515,18.412340042818684",Western Cape,1
Portugal,"Mar 8, 2024",4,Challenge,Street view,"37.845151088986782,-25.769215778273811",Açores,1
United States,"Mar 8, 2024",5,Challenge,Street view,"44.281635826100384,-71.2763371117229",New Hampshire,1
Iceland,"Mar 9, 2024",1,Challenge,Street view,"64.13690185546875,-21.706466674804688",Reykjavíkurborg,1
Kenya,"Mar 9, 2024",2,Challenge,Street view,"-1.0653648376464844,37.052505493164062",Kiambu County,1
Hungary,"Mar 9, 2024",3,Challenge,Street view,"46.8229866027832,16.832708358764648",Zala County,1
Indonesia,"Mar 9, 2024",4,Challenge,Street view,"-7.6988353729248047,110.52854919433594",Jawa Tengah,1
Bolivia,"Mar 9, 2024",5,Challenge,Street view,"-17.420820236206055,-66.163223266601562",Departamento de Cochabamba,1
Ecuador,"Mar 10, 2024",1,Challenge,Street view,"-0.2410920113325119,-78.514442443847656",Pichincha,1
Uruguay,"Mar 10, 2024",2,Challenge,Street view,"-31.535655975341797,-55.656345367431641",Departamento de Rivera,1
Palestine,"Mar 10, 2024",3,Challenge,Street view,"31.826171875,35.130287170410156",Palestine,1
South Africa,"Mar 10, 2024",4,Challenge,Street view,"-28.864013671875,20.034894943237305",Northern Cape,1
Bulgaria,"Mar 10, 2024",5,Challenge,Street view,"43.573650360107422,27.832380294799805",Dobrich,1
Colombia,"Mar 11, 2024",1,Challenge,Street view,"7.9334268569946289,-72.519760131835938",Norte de Santander,1
Kyrgyzstan,"Mar 11, 2024",2,Challenge,Street view,"42.846710205078125,74.601936340332031",Bishkek City,1
Poland,"Mar 11, 2024",3,Challenge,Street view,"52.557247161865234,19.702028274536133",Województwo mazowieckie,1
Poland,"Mar 11, 2024",4,Challenge,Street view,"52.893692016601562,18.144407272338867",Województwo kujawsko-pomorskie,1
Italy,"Mar 11, 2024",5,Challenge,Street view,"45.469417572021484,11.966651916503906",Veneto,1
Serbia,"Mar 12, 2024",1,Challenge,Street view,"45.013336181640625,19.801023483276367",Sremski оkrug,1
Sri Lanka,"Mar 12, 2024",2,Challenge,Street view,"7.4340677261352539,80.2157211303711",North Western Province,1
Kenya,"Mar 12, 2024",3,Challenge,Street view,"-1.4009667634963989,36.933780670166016",Nairobi County,1
Philippines,"Mar 12, 2024",4,Challenge,Street view,"7.0891242027282715,125.50136566162109",Davao del Sur,1
Ecuador,"Mar 12, 2024",5,Challenge,Street view,"-2.1332299709320068,-79.9239273071289",Guayas,1
Puerto Rico,"Mar 13, 2024",1,Challenge,Street view,"18.381555557250977,-66.145462036132812",Bayamón,1
Botswana,"Mar 13, 2024",2,Challenge,Street view,"-21.202585220336914,27.539909362792969",North-East District,1
Guatemala,"Mar 13, 2024",3,Challenge,Street view,"14.644092559814453,-91.77001953125",Quetzaltenango,1
Serbia,"Mar 13, 2024",4,Challenge,Street view,"43.847610473632812,19.855245590209961",Zlatiborski okrug,1
Türkiye,"Mar 13, 2024",5,Challenge,Street view,"41.271751403808594,36.330539703369141",Samsun,1
Canada,"Mar 14, 2024",1,Challenge,Street view,"48.956027984619141,-57.918594360351562",Newfoundland and Labrador,1
Türkiye,"Mar 14, 2024",2,Challenge,Street view,"38.914279937744141,32.059799194335938",Konya,1
Ukraine,"Mar 14, 2024",3,Challenge,Street view,"49.814945220947266,24.019874572753906",L'vivs'ka oblast,1
Bolivia,"Mar 14, 2024",4,Challenge,Street view,"-17.395580291748047,-66.199844360351562",Departamento de Cochabamba,1
Hungary,"Mar 14, 2024",5,Challenge,Street view,"47.727622985839844,17.822530746459961",Gyor-Moson-Sopron,1
Germany,"Mar 15, 2024",1,Challenge,Street view,"51.130576872924976,14.407671503433134",Sachsen,1
Indonesia,"Mar 15, 2024",2,Challenge,Street view,"-2.9765453876574806,119.87681804238042",South Sulawesi,1
Argentina,"Mar 15, 2024",3,Challenge,Street view,"-43.290921356898352,-65.49787629834492",Chubut,1
Colombia,"Mar 15, 2024",4,Challenge,Street view,"5.6332499961880842,-73.525191102553848",Boyacá,1
Türkiye,"Mar 15, 2024",5,Challenge,Street view,"40.652393943638721,35.833363927534165",Amasya,1
Switzerland,"Mar 16, 2024",1,Challenge,Street view,"45.843097686767578,9.0199356079101562",Ticino,1
Malaysia,"Mar 16, 2024",2,Challenge,Street view,"3.7944650650024414,113.8502197265625",Sarawak,1
Nigeria,"Mar 16, 2024",3,Challenge,Street view,"11.750461578369141,11.941463470458984",Yobe,1
United States,"Mar 16, 2024",4,Challenge,Street view,"32.805625915527344,-93.931159973144531",Louisiana,1
New Zealand,"Mar 16, 2024",5,Challenge,Street view,"-41.342628479003906,174.76551818847656",Wellington Region,1
Japan,"Mar 17, 2024",1,Challenge,Street view,"36.082057952880859,136.506591796875",Fukui,1
Montenegro,"Mar 17, 2024",2,Challenge,Street view,"42.901054382324219,19.980247497558594",Opština Petnjica,1
Mongolia,"Mar 17, 2024",3,Challenge,Street view,"44.409622192382812,111.02873229980469",Dornogovi,1
Greenland,"Mar 17, 2024",4,Challenge,Street view,"65.6126480102539,-37.641384124755859",Sermersooq Municipality,1
Indonesia,"Mar 17, 2024",5,Challenge,Street view,"-7.4111313819885254,110.03172302246094",Jawa Tengah,1
Czechia,"Mar 18, 2024",1,Challenge,Street view,"51.000209808349609,14.45073413848877",Ústecký kraj,1
Canada,"Mar 18, 2024",2,Challenge,Street view,"45.502670288085938,-73.593017578125",Québec,1
Peru,"Mar 18, 2024",3,Challenge,Street view,"-8.3706035614013672,-74.592109680175781",Ucayali,1
Uruguay,"Mar 18, 2024",4,Challenge,Street view,"-32.597679138183594,-53.373085021972656",Departamento de Cerro Largo,1
Jordan,"Mar 18, 2024",5,Challenge,Street view,"31.965957641601562,35.8680534362793",Amman Governorate,1
Mongolia,"Mar 19, 2024",1,Challenge,Street view,"49.547657012939453,114.40912628173828",Dornod,1
Guatemala,"Mar 19, 2024",2,Challenge,Street view,"15.59780216217041,-90.393058776855469",Alta Verapaz,1
New Zealand,"Mar 19, 2024",3,Challenge,Street view,"-45.024250030517578,170.14625549316406",Otago Region,1
Albania,"Mar 19, 2024",4,Challenge,Street view,"40.793144226074219,19.838249206542969",Qarku i Beratit,1
Slovakia,"Mar 19, 2024",5,Challenge,Street view,"49.213214874267578,20.350648880004883",Prešovský kraj,1
Senegal,"Mar 20, 2024",1,Challenge,Street view,"13.214827537536621,-14.166783332824707",Région de Kolda,1
Australia,"Mar 20, 2024",2,Challenge,Street view,"-32.2591552734375,148.60693359375",New South Wales,1
Greece,"Mar 20, 2024",3,Challenge,Street view,"37.6746711730957,22.192411422729492",Peloponnese Region,1
Bolivia,"Mar 20, 2024",4,Challenge,Street view,"-17.803953170776367,-63.160419464111328",Departamento de Santa Cruz,1
Philippines,"Mar 20, 2024",5,Challenge,Street view,"7.5880031585693359,125.84055328369141",Davao del Norte,1
Canada,"Mar 21, 2024",1,Challenge,Street view,"46.129905700683594,-74.60345458984375",Québec,1
Christmas Island,"Mar 21, 2024",2,Challenge,Street view,"-10.449658393859863,105.54688262939453",Shire of Christmas Island,1
Bulgaria,"Mar 21, 2024",3,Challenge,Street view,"41.5596809387207,23.27397346496582",Blagoevgrad,1
Bulgaria,"Mar 21, 2024",4,Challenge,Street view,"41.634071350097656,25.378362655639648",Kardjali,1
Ukraine,"Mar 21, 2024",5,Challenge,Street view,"47.599086761474609,34.375545501708984",Dnipropetrovs'ka oblast,1
United States,"Mar 22, 2024",1,Challenge,Street view,"39.299015849140176,-87.993757675792779",Illinois,1
Belgium,"Mar 22, 2024",2,Challenge,Street view,"51.309632275220167,3.1134972826697975",Vlaanderen,1
Romania,"Mar 22, 2024",3,Challenge,Street view,"45.513593594037317,25.366587283745204",Județul Brașov,1
Ecuador,"Mar 22, 2024",4,Challenge,Street view,"-0.0022992403888625525,-78.455405970460859",Pichincha,1
Estonia,"Mar 22, 2024",5,Challenge,Street view,"59.437767593009809,24.747513009619702",Harju maakond,1
Nigeria,"Mar 23, 2024",1,Challenge,Street view,"12.634507179260254,5.6733951568603516",Sokoto,1
Peru,"Mar 23, 2024",2,Challenge,Street view,"-8.0759363174438477,-79.117599487304688",La Libertad,1
Israel,"Mar 23, 2024",3,Challenge,Street view,"32.043003082275391,34.755294799804688",Tel Aviv District,1
Brazil,"Mar 23, 2024",4,Challenge,Street view,"-4.4905853271484375,-38.600105285644531",Ceará,1
Hungary,"Mar 23, 2024",5,Challenge,Street view,"47.929416656494141,21.761312484741211",Szabolcs-Szatmár-Bereg,1
Chile,"Mar 24, 2024",1,Challenge,Street view,"-46.971702575683594,-72.793075561523438",Aysén,1
Malta,"Mar 24, 2024",2,Challenge,Street view,"35.902900695800781,14.466806411743164",Malta,1
Brazil,"Mar 24, 2024",3,Challenge,Street view,"2.8163840770721436,-60.684268951416016",Roraima,1
Bangladesh,"Mar 24, 2024",4,Challenge,Street view,"23.91185188293457,90.165451049804688",Dhaka Division,1
India,"Mar 24, 2024",5,Challenge,Street view,"21.516942977905273,74.478034973144531",Maharashtra,1
Malta,"Mar 25, 2024",1,Challenge,Street view,"35.904582977294922,14.472023010253906",Malta,1
Peru,"Mar 25, 2024",2,Challenge,Street view,"-12.133426666259766,-77.026191711425781",Provincia de Lima,1
Türkiye,"Mar 25, 2024",3,Challenge,Street view,"40.259666442871094,39.963970184326172",Bayburt,1
Slovakia,"Mar 25, 2024",4,Challenge,Street view,"48.773830413818359,18.604824066162109",Trenčiansky kraj,1
Indonesia,"Mar 25, 2024",5,Challenge,Street view,"-8.6741485595703125,116.117431640625",West Nusa Tenggara,1
Hungary,"Mar 26, 2024",1,Challenge,Street view,"48.361675262451172,21.055107116699219",Borsod-Abaúj-Zemplén,1
India,"Mar 26, 2024",2,Challenge,Street view,"12.774938583374023,77.754440307617188",Karnataka,1
Ghana,"Mar 26, 2024",3,Challenge,Street view,"5.85441780090332,0.26294869184494019",Greater Accra Region,1
Bolivia,"Mar 26, 2024",4,Challenge,Street view,"-17.816305160522461,-63.171405792236328",Departamento de Santa Cruz,1
"Korea, South","Mar 26, 2024",5,Challenge,Street view,"37.511386871337891,129.00733947753906",Gangwon-do,1
United States,"Mar 27, 2024",1,Challenge,Street view,"34.301139831542969,-90.001991271972656",Mississippi,1
Vietnam,"Mar 27, 2024",2,Challenge,Street view,"20.933313369750977,105.80236053466797",Hà Nội,1
Namibia,"Mar 27, 2024",3,Challenge,Street view,"-17.836355209350586,23.6916561126709",Zambezi Region,1
Chile,"Mar 27, 2024",4,Challenge,Street view,"-51.63287353515625,-72.639877319335938",Magallanes y la Antártica Chilena,1
Chile,"Mar 27, 2024",5,Challenge,Street view,"-18.478858947753906,-70.324691772460938",Arica y Parinacota,1
Brazil,"Mar 28, 2024",1,Challenge,Street view,"-4.0466804504394531,-38.285903930664062",Ceará,1
Malta,"Mar 28, 2024",2,Challenge,Street view,"35.913078308105469,14.476855278015137",Malta,1
Indonesia,"Mar 28, 2024",3,Challenge,Street view,"-7.1795964241027832,110.82213592529297",Jawa Tengah,1
Finland,"Mar 28, 2024",4,Challenge,Street view,"63.076129913330078,21.670448303222656",Pohjanmaa,1
Dominican Republic,"Mar 28, 2024",5,Challenge,Street view,"18.533792495727539,-69.999763488769531",Santo Domingo Province,1
Japan,"Mar 29, 2024",1,Challenge,Street view,"43.212588420315207,141.44323337995337",Hokkaido,1
Kenya,"Mar 29, 2024",2,Challenge,Street view,"-0.74068301533864778,36.436131449618642",Nakuru County,1
Sweden,"Mar 29, 2024",3,Challenge,Street view,"59.235910856352824,18.304032309141903",Stockholms län,1
Kazakhstan,"Mar 29, 2024",4,Challenge,Street view,"43.058897674523074,76.982479477196279",Almaty Region,1
United States,"Mar 29, 2024",5,Challenge,Street view,"24.632125903930646,-82.9196983432039",Florida,1
United States,"Mar 30, 2024",1,Challenge,Street view,"41.611446380615234,-93.726234436035156",Iowa,1
Türkiye,"Mar 30, 2024",2,Challenge,Street view,"38.697853088378906,35.5257453918457",Kayseri,1
Ireland,"Mar 30, 2024",3,Challenge,Street view,"52.697006225585938,-8.2438154220581055",County Tipperary,1
India,"Mar 30, 2024",4,Challenge,Street view,"11.126201629638672,77.316902160644531",Tamil Nadu,1
Mexico,"Mar 30, 2024",5,Challenge,Street view,"20.549892425537109,-104.05489349365234",Jalisco,1
San Marino,"Mar 31, 2024",1,Challenge,Street view,"43.925697326660156,12.452574729919434",San Marino,1
Ukraine,"Mar 31, 2024",2,Challenge,Street view,"51.271556854248047,30.959505081176758",Chernihivs'ka oblast,1
Colombia,"Mar 31, 2024",3,Challenge,Street view,"4.8293647766113281,-75.696502685546875",Risaralda,1
Japan,"Mar 31, 2024",4,Challenge,Street view,"34.6918830871582,137.99395751953125",Shizuoka,1
Bangladesh,"Mar 31, 2024",5,Challenge,Street view,"24.527610778808594,92.0335693359375",Sylhet Division,1
Latvia,"Apr 1, 2024",1,Challenge,Street view,"56.182003021240234,26.971797943115234",Preiļu novads,1
Guatemala,"Apr 1, 2024",2,Challenge,Street view,"14.582812309265137,-90.664024353027344",Guatemala,1
Laos,"Apr 1, 2024",3,Challenge,Street view,"17.989269256591797,102.57393646240234",Vientiane Prefecture,1
Switzerland,"Apr 1, 2024",4,Challenge,Street view,"47.516471862792969,8.6786298751831055",Zürich,1
Italy,"Apr 1, 2024",5,Challenge,Street view,"39.559429168701172,8.8955097198486328",Sardegna,1
Rwanda,"Apr 2, 2024",1,Challenge,Street view,"-1.9361618757247925,30.117893218994141",Kigali City,1
Japan,"Apr 2, 2024",2,Challenge,Street view,"33.591640472412109,130.41973876953125",Fukuoka,1
Greenland,"Apr 2, 2024",3,Challenge,Street view,"64.228500366210938,-51.529380798339844",Sermersooq Municipality,1
France,"Apr 2, 2024",4,Challenge,Street view,"48.863246917724609,2.5238499641418457",Île-de-France,1
Sri Lanka,"Apr 2, 2024",5,Challenge,Street view,"8.7260704040527344,81.1694564819336",Eastern Province,1
Greece,"Apr 3, 2024",1,Challenge,Street view,"38.238105773925781,23.45820426940918",Central Greece,1
Argentina,"Apr 3, 2024",2,Challenge,Street view,"-27.581516265869141,-65.615707397460938",Tucumán,1
Czechia,"Apr 3, 2024",3,Challenge,Street view,"50.098186492919922,14.552827835083008",Hlavní město Praha,1
Bhutan,"Apr 3, 2024",4,Challenge,Street view,"27.478797912597656,89.638130187988281",Thimphu,1
Guatemala,"Apr 3, 2024",5,Challenge,Street view,"14.531256675720215,-90.6165542602539",Guatemala Department,1
Singapore,"Apr 4, 2024",1,Challenge,Street view,"1.3068758249282837,103.80831909179688",Singapore,1
Uganda,"Apr 4, 2024",2,Challenge,Street view,"0.33395081758499146,32.576885223388672",Central Region,1
Botswana,"Apr 4, 2024",3,Challenge,Street view,"-21.176675796508789,27.515674591064453",Francistown City,1
Bolivia,"Apr 4, 2024",4,Challenge,Street view,"-16.666938781738281,-68.437911987304688",Departamento de La Paz,1
Canada,"Apr 4, 2024",5,Challenge,Street view,"49.7275390625,-108.37906646728516",Saskatchewan,1
Indonesia,"Apr 5, 2024",1,Challenge,Street view,"-5.166536808013916,120.23194885253906",South Sulawesi,1
Malaysia,"Apr 5, 2024",2,Challenge,Street view,"4.9937496185302734,116.46786499023438",Sabah,1
Bolivia,"Apr 5, 2024",3,Challenge,Street view,"-16.4962100982666,-68.134368896484375",Departamento de La Paz,1
Croatia,"Apr 5, 2024",4,Challenge,Street view,"45.1733283996582,18.126144409179688",Brodsko-posavska županija,1
Christmas Island,"Apr 5, 2024",5,Challenge,Street view,"-10.477084159851074,105.56593322753906",Shire of Christmas Island,1
Bulgaria,"Apr 6, 2024",1,Challenge,Street view,"43.866733551025391,26.007131576538086",Ruse,1
Singapore,"Apr 6, 2024",2,Challenge,Street view,"1.2997229099273682,103.88108825683594",Singapore,1
Croatia,"Apr 6, 2024",3,Challenge,Street view,"43.875957489013672,16.469697952270508",Splitsko-dalmatinska županija,1
Argentina,"Apr 6, 2024",4,Challenge,Street view,"-34.6378173828125,-58.508674621582031",Ciudad Autónoma de Buenos Aires,1
Latvia,"Apr 6, 2024",5,Challenge,Street view,"57.236049652099609,25.378870010375977",Cēsu novads,1
Estonia,"Apr 7, 2024",1,Challenge,Street view,"59.376914978027344,24.66840934753418",Harju maakond,1
Canada,"Apr 7, 2024",2,Challenge,Street view,"49.872039794921875,-100.94619750976562",Manitoba,1
Philippines,"Apr 7, 2024",3,Challenge,Street view,"14.667435646057129,121.13317108154297",Rizal,1
Australia,"Apr 7, 2024",4,Challenge,Street view,"-38.372104644775391,143.75602722167969",Victoria,1
Latvia,"Apr 7, 2024",5,Challenge,Street view,"56.718830108642578,25.989973068237305",Madonas novads,1
Philippines,"Apr 8, 2024",1,Challenge,Street view,"11.270332336425781,122.7001953125",Capiz,1
Norway,"Apr 8, 2024",2,Challenge,Street view,"63.784912109375,11.444856643676758",Trøndelag,1
Canada,"Apr 8, 2024",3,Challenge,Street view,"45.501407623291016,-75.7381820678711",Québec,1
Taiwan,"Apr 8, 2024",4,Challenge,Street view,"23.552452087402344,120.23062133789062",Yunlin County,1
United States,"Apr 8, 2024",5,Challenge,Street view,"31.76934814453125,-106.3507080078125",Texas,1
Slovakia,"Apr 9, 2024",1,Challenge,Street view,"49.302639007568359,18.788217544555664",Žilinský kraj,1
Germany,"Apr 9, 2024",2,Challenge,Street view,"53.042476654052734,8.5873003005981445",Niedersachsen,1
Argentina,"Apr 9, 2024",3,Challenge,Street view,"-47.318798065185547,-66.063560485839844",Santa Cruz,1
Peru,"Apr 9, 2024",4,Challenge,Street view,"-7.2129473686218262,-79.39642333984375",La Libertad,1
Taiwan,"Apr 9, 2024",5,Challenge,Street view,"23.608928680419922,120.23163604736328",Yunlin County,1
Australia,"Apr 10, 2024",1,Challenge,Street view,"-35.000709533691406,138.62539672851562",South Australia,1
Malaysia,"Apr 10, 2024",2,Challenge,Street view,"5.147130012512207,100.51173400878906",Penang,1
Bulgaria,"Apr 10, 2024",3,Challenge,Street view,"42.062911987304688,24.371936798095703",Pazardzhik,1
